flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,20000.0,20
2,0.02,41000.0,41
3,0.02,62000.0,62
4,0.02,83000.0,83
5,0.02,104000.0,104
6,0.02,125000.0,125
7,0.02,146000.0,146
8,0.02,167000.0,167
9,0.02,188000.0,188
10,0.02,209000.0,209
11,0.02,41000.0,41
12,0.02,83000.0,83
13,0.02,125000.0,125
14,0.02,167000.0,167
15,0.02,209000.0,209
17,0.02,293000.0,293
16,0.02,251000.0,251
19,0.02,377000.0,377
18,0.02,335000.0,335
20,0.02,419000.0,419
1,0.04,41000.0,41
2,0.04,83000.0,83
3,0.04,125000.0,125
4,0.04,167000.0,167
5,0.04,209000.0,209
6,0.04,251000.0,251
7,0.04,293000.0,293
8,0.04,335000.0,335
9,0.04,377000.0,377
10,0.04,419000.0,419
11,0.04,83000.0,83
12,0.04,167000.0,167
13,0.04,251000.0,251
14,0.04,335000.0,335
15,0.04,419000.0,419
17,0.04,587000.0,587
16,0.04,503000.0,503
19,0.04,754000.0,754
18,0.04,671000.0,671
20,0.04,838000.0,838
1,0.06,62000.0,62
2,0.06,125000.0,125
3,0.06,188000.0,188
4,0.06,251000.0,251
5,0.06,314000.0,314
6,0.06,377000.0,377
7,0.06,440000.0,440
8,0.06,503000.0,503
9,0.06,566000.0,566
10,0.06,629000.0,629
11,0.06,125000.0,125
12,0.06,251000.0,251
13,0.06,377000.0,377
14,0.06,503000.0,503
15,0.06,629000.0,629
17,0.06,880000.0,880
16,0.06,754000.0,754
19,0.06,1132000.0,1132
18,0.06,1006000.0,1006
20,0.06,1258000.0,1258
1,0.08,83000.0,83
2,0.08,167000.0,167
3,0.08,251000.0,251
4,0.08,335000.0,335
5,0.08,419000.0,419
6,0.08,503000.0,503
7,0.08,587000.0,587
8,0.08,671000.0,671
9,0.08,754000.0,754
10,0.08,838000.0,838
11,0.08,167000.0,167
12,0.08,335000.0,335
13,0.08,503000.0,503
14,0.08,671000.0,671
15,0.08,838000.0,838
17,0.08,1174000.0,1174
16,0.08,1006000.0,1006
19,0.08,1509000.0,1509
18,0.08,1342000.0,1342
20,0.08,1677000.0,1677
1,0.1,104000.0,104
2,0.1,209000.0,209
3,0.1,314000.0,314
4,0.1,419000.0,419
5,0.1,524000.0,524
6,0.1,629000.0,629
7,0.1,733000.0,733
8,0.1,838000.0,838
9,0.1,943000.0,943
10,0.1,1048000.0,1048
11,0.1,209000.0,209
12,0.1,419000.0,419
13,0.1,629000.0,629
14,0.1,838000.0,838
15,0.1,1048000.0,1048
17,0.1,1467000.0,1467
16,0.1,1258000.0,1258
19,0.1,1887000.0,1887
18,0.1,1677000.0,1677
20,0.1,2097000.0,2097
1,0.12000000000000001,125000.0,125
2,0.12000000000000001,251000.0,251
3,0.12000000000000001,377000.0,377
4,0.12000000000000001,503000.0,503
5,0.12000000000000001,629000.0,629
6,0.12000000000000001,754000.0,754
7,0.12000000000000001,880000.0,880
8,0.12000000000000001,1006000.0,1006
9,0.12000000000000001,1132000.0,1132
10,0.12000000000000001,1258000.0,1258
11,0.12000000000000001,251000.0,251
12,0.12000000000000001,503000.0,503
13,0.12000000000000001,754000.0,754
14,0.12000000000000001,1006000.0,1006
15,0.12000000000000001,1258000.0,1258
17,0.12000000000000001,1761000.0,1761
16,0.12000000000000001,1509000.0,1509
19,0.12000000000000001,2264000.0,2264
18,0.12000000000000001,2013000.0,2013
20,0.12000000000000001,2516000.0,2516
1,0.14,146000.0,146
2,0.14,293000.0,293
3,0.14,440000.0,440
4,0.14,587000.0,587
5,0.14,734000.0,734
6,0.14,880000.0,880
7,0.14,1027000.0,1027
8,0.14,1174000.0,1174
9,0.14,1321000.0,1321
10,0.14,1468000.0,1468
11,0.14,293000.0,293
12,0.14,587000.0,587
13,0.14,880000.0,880
14,0.14,1174000.0,1174
15,0.14,1468000.0,1468
17,0.14,2055000.0,2055
16,0.14,1761000.0,1761
19,0.14,2642000.0,2642
18,0.14,2348000.0,2348
20,0.14,2936000.0,2936
1,0.16,167000.0,167
2,0.16,335000.0,335
3,0.16,503000.0,503
4,0.16,671000.0,671
5,0.16,838000.0,838
6,0.16,1006000.0,1006
7,0.16,1174000.0,1174
8,0.16,1342000.0,1342
9,0.16,1509000.0,1509
10,0.16,1677000.0,1677
11,0.16,335000.0,335
12,0.16,671000.0,671
13,0.16,1006000.0,1006
14,0.16,1342000.0,1342
15,0.16,1677000.0,1677
17,0.16,2348000.0,2348
16,0.16,2013000.0,2013
19,0.16,3019000.0,3019
18,0.16,2684000.0,2684
20,0.16,3355000.0,3355
1,0.18,188000.0,188
2,0.18,377000.0,377
3,0.18,566000.0,566
4,0.18,754000.0,754
5,0.18,943000.0,943
6,0.18,1132000.0,1132
7,0.18,1321000.0,1321
8,0.18,1509000.0,1509
9,0.18,1698000.0,1698
10,0.18,1887000.0,1887
11,0.18,377000.0,377
12,0.18,754000.0,754
13,0.18,1132000.0,1132
14,0.18,1509000.0,1509
15,0.18,1887000.0,1887
17,0.18,2642000.0,2642
16,0.18,2264000.0,2264
19,0.18,3397000.0,3397
18,0.18,3019000.0,3019
20,0.18,3774000.0,3774
1,0.19999999999999998,209000.0,209
2,0.19999999999999998,419000.0,419
3,0.19999999999999998,629000.0,629
4,0.19999999999999998,838000.0,838
5,0.19999999999999998,1048000.0,1048
6,0.19999999999999998,1258000.0,1258
7,0.19999999999999998,1467000.0,1467
8,0.19999999999999998,1677000.0,1677
9,0.19999999999999998,1887000.0,1887
10,0.19999999999999998,2097000.0,2097
11,0.19999999999999998,419000.0,419
12,0.19999999999999998,838000.0,838
13,0.19999999999999998,1258000.0,1258
14,0.19999999999999998,1677000.0,1677
15,0.19999999999999998,2097000.0,2097
17,0.19999999999999998,2936000.0,2936
16,0.19999999999999998,2516000.0,2516
19,0.19999999999999998,3774000.0,3774
18,0.19999999999999998,3355000.0,3355
20,0.19999999999999998,4194000.0,4194
1,0.21999999999999997,230000.0,230
2,0.21999999999999997,461000.0,461
3,0.21999999999999997,692000.0,692
4,0.21999999999999997,922000.0,922
5,0.21999999999999997,1153000.0,1153
6,0.21999999999999997,1384000.0,1384
7,0.21999999999999997,1614000.0,1614
8,0.21999999999999997,1845000.0,1845
9,0.21999999999999997,2076000.0,2076
10,0.21999999999999997,2306000.0,2306
11,0.21999999999999997,461000.0,461
12,0.21999999999999997,922000.0,922
13,0.21999999999999997,1384000.0,1384
14,0.21999999999999997,1845000.0,1845
15,0.21999999999999997,2306000.0,2306
17,0.21999999999999997,3229000.0,3229
16,0.21999999999999997,2768000.0,2768
19,0.21999999999999997,4152000.0,4152
18,0.21999999999999997,3690000.0,3690
20,0.21999999999999997,4613000.0,4613
1,0.23999999999999996,251000.0,251
2,0.23999999999999996,503000.0,503
3,0.23999999999999996,754000.0,754
4,0.23999999999999996,1006000.0,1006
5,0.23999999999999996,1258000.0,1258
6,0.23999999999999996,1509000.0,1509
7,0.23999999999999996,1761000.0,1761
8,0.23999999999999996,2013000.0,2013
9,0.23999999999999996,2264000.0,2264
10,0.23999999999999996,2516000.0,2516
11,0.23999999999999996,503000.0,503
12,0.23999999999999996,1006000.0,1006
13,0.23999999999999996,1509000.0,1509
14,0.23999999999999996,2013000.0,2013
15,0.23999999999999996,2516000.0,2516
17,0.23999999999999996,3523000.0,3523
16,0.23999999999999996,3019000.0,3019
19,0.23999999999999996,4529000.0,4529
18,0.23999999999999996,4026000.0,4026
20,0.23999999999999996,5033000.0,5033
1,0.25999999999999995,272000.0,272
2,0.25999999999999995,545000.0,545
3,0.25999999999999995,817000.0,817
4,0.25999999999999995,1090000.0,1090
5,0.25999999999999995,1363000.0,1363
6,0.25999999999999995,1635000.0,1635
7,0.25999999999999995,1908000.0,1908
8,0.25999999999999995,2181000.0,2181
9,0.25999999999999995,2453000.0,2453
10,0.25999999999999995,2726000.0,2726
11,0.25999999999999995,545000.0,545
12,0.25999999999999995,1090000.0,1090
13,0.25999999999999995,1635000.0,1635
14,0.25999999999999995,2181000.0,2181
15,0.25999999999999995,2726000.0,2726
17,0.25999999999999995,3816000.0,3816
16,0.25999999999999995,3271000.0,3271
19,0.25999999999999995,4907000.0,4907
18,0.25999999999999995,4362000.0,4362
20,0.25999999999999995,5452000.0,5452
1,0.27999999999999997,293000.0,293
2,0.27999999999999997,587000.0,587
3,0.27999999999999997,880000.0,880
4,0.27999999999999997,1174000.0,1174
5,0.27999999999999997,1468000.0,1468
6,0.27999999999999997,1761000.0,1761
7,0.27999999999999997,2055000.0,2055
8,0.27999999999999997,2348000.0,2348
9,0.27999999999999997,2642000.0,2642
10,0.27999999999999997,2936000.0,2936
11,0.27999999999999997,587000.0,587
12,0.27999999999999997,1174000.0,1174
13,0.27999999999999997,1761000.0,1761
14,0.27999999999999997,2348000.0,2348
15,0.27999999999999997,2936000.0,2936
17,0.27999999999999997,4110000.0,4110
16,0.27999999999999997,3523000.0,3523
19,0.27999999999999997,5284000.0,5284
18,0.27999999999999997,4697000.0,4697
20,0.27999999999999997,5872000.0,5872
1,0.3,294000.0,294
2,0.3,588000.0,588
3,0.3,881000.0,881
4,0.3,1175000.0,1175
5,0.3,1469000.0,1469
6,0.3,1762000.0,1762
7,0.3,2056000.0,2056
8,0.3,2349000.0,2349
9,0.3,2643000.0,2643
10,0.3,2937000.0,2937
11,0.3,588000.0,588
12,0.3,1175000.0,1175
13,0.3,1762000.0,1762
14,0.3,2349000.0,2349
15,0.3,2937000.0,2937
17,0.3,4111000.0,4111
16,0.3,3524000.0,3524
19,0.3,5285000.0,5285
18,0.3,4698000.0,4698
20,0.3,5873000.0,5873
